"K_L.ID","K_L.logFC","K_L.logCPM","K_L.LR","K_L.PValue","K_L.FDR"
"ENSG00000135637",1.26741842697527,3.71003597726299,24.5930360505657,7.0807158849651e-07,2.86876779414277e-06
"ENSG00000128294",0.597132394554778,5.82279509922834,24.5289499758812,7.32016822950567e-07,2.96151436376295e-06
"ENSG00000085872",0.66112346948901,5.48550960943675,24.1782204197807,8.78198179431828e-07,3.53321593120247e-06
"ENSG00000105221",0.532967956689196,6.14824246198279,23.9611368240481,9.83000188320779e-07,3.9344499439997e-06
"ENSG00000160803",0.96752608761843,4.60925505604549,23.767244807308,1.08716922547144e-06,4.33009748577599e-06
"ENSG00000156232",0.763920696042789,5.0408033021354,23.6339203456481,1.16515437415727e-06,4.62392180665898e-06
"ENSG00000188493",1.32072451446992,3.54642984048925,23.5610088437654,1.21015052098889e-06,4.79413162181436e-06
"ENSG00000158717",1.37094991239348,3.45096714821488,23.5560595277317,1.2132673325128e-06,4.80563267140066e-06
"ENSG00000171497",0.60274974156343,5.74425875209738,23.2879138324978,1.39473699050959e-06,5.4915327234875e-06
"ENSG00000140044",1.04094991351429,4.18827683898916,23.0159505496822,1.60662864189441e-06,6.28948270778162e-06
"ENSG00000145819",0.777185663013673,4.96930774711665,22.887872292153,1.71731979295051e-06,6.69948345940277e-06
"ENSG00000132256",1.03475714440376,4.15074248465234,22.8559658884671,1.74606513807519e-06,6.80807991596931e-06
"ENSG00000164327",0.616146557249226,5.57885924233524,22.3914477819281,2.22361966914742e-06,8.59412379431611e-06
"ENSG00000187867",0.844278030197111,4.67388499740093,22.2389148759129,2.40744639802235e-06,9.26955478368819e-06
"ENSG00000181322",2.21429575093895,2.28067252380011,22.0930051383338,2.59754529476073e-06,9.95379002882415e-06
"ENSG00000008018",0.477314920058292,6.29298333578435,21.9730418368038,2.76507143423527e-06,1.05633525659846e-05
"ENSG00000114650",0.523971998172445,6.17276543876816,21.7290188909767,3.14005264867789e-06,1.19229755307725e-05
"ENSG00000033030",0.679377805869583,5.23250524269921,21.3723692023148,3.78182338222927e-06,1.42634928502996e-05
"ENSG00000101182",0.366501453609332,7.02989178595587,21.3681776902889,3.79010051483384e-06,1.42923139803174e-05
"ENSG00000214515",0.790203498560436,4.91218805073849,21.0492361835745,4.4763125881055e-06,1.67675333288629e-05
"ENSG00000205337",2.44153101127248,2.03961673116125,20.9874678067761,4.62297499184047e-06,1.72909874549297e-05
"ENSG00000135521",0.722424226213081,5.01164949132866,20.6883255636069,5.40445070953365e-06,2.00803067003819e-05
"ENSG00000196569",0.657191632967877,5.22875362959922,19.9358882257667,8.00828566803445e-06,2.92475389207689e-05
"ENSG00000115919",1.37879977047493,3.20984169821937,19.7973069586383,8.61039072557662e-06,3.13184780466472e-05
"ENSG00000178764",0.696140696223399,5.04064076866456,19.59809227304,9.55645724617009e-06,3.4615030353739e-05
"ENSG00000106263",0.436195269562782,6.35852673151056,19.1613272795754,1.20122532494055e-05,4.30389637691781e-05
"ENSG00000112983",0.505979148057352,5.98265177164193,19.0206166696731,1.29313700129791e-05,4.61849311722885e-05
"ENSG00000186501",0.726860071939544,4.87108980741915,18.8006510833186,1.45117577106136e-05,5.16570799163818e-05
"ENSG00000136158",0.750097375075406,4.78565003842056,18.7484582855933,1.49143883418721e-05,5.30064149508066e-05
"ENSG00000130764",0.531804049224395,5.80579224687789,18.5026078361711,1.69671981863373e-05,5.99799256854331e-05
"ENSG00000152518",0.447843417432661,6.17239850306624,17.7680914176716,2.49533271282456e-05,8.63650857362641e-05
"ENSG00000168929",2.20188568900005,2.03955412668797,17.6766051874496,2.6182714152732e-05,9.04948600838253e-05
"ENSG00000152465",0.679232663129243,5.04875423034329,17.546638986187,2.80345884120264e-05,9.66428408011149e-05
"ENSG00000181827",0.772226497895027,4.59214395514572,17.5312739071721,2.82620500633058e-05,9.73672650005742e-05
"ENSG00000134612",1.25492513005542,3.25284923437827,17.055212484358,3.63085744242305e-05,0.000123238732085865
"ENSG00000143633",0.886921682606554,4.15816206664179,16.9009346792554,3.93821857743617e-05,0.000133188775648931
"ENSG00000078487",1.1106403123936,3.54632212724421,16.7885595672673,4.17844573736595e-05,0.00014069957274047
"ENSG00000114988",0.511970493419233,5.67153546563643,16.4311664257243,5.04489042513766e-05,0.000168312691976481
"ENSG00000186684",1.86335458977025,2.28061014203865,16.3268760714091,5.33025937898761e-05,0.000177386110437158
"ENSG00000154263",1.25430751750351,3.18028111089998,16.1091514298031,5.97943947462882e-05,0.000198139964320616
"ENSG00000174851",0.782169162127269,4.45114177376502,15.9161948687822,6.62097591396289e-05,0.000218144957962241
"ENSG00000177169",0.494196560877146,5.82007578470663,15.8918638907351,6.70664083026296e-05,0.000220676448094534
"ENSG00000180019",0.626802504108752,4.99890318973024,15.3943446854884,8.72490250993167e-05,0.000283477401687898
"ENSG00000121775",1.05230297267511,3.56918476662855,15.3523905678447,8.92079820246214e-05,0.000289340570483665
"ENSG00000163472",1.18906534979921,3.25281241706938,15.3492131328933,8.93581360520532e-05,0.000289785793772268
"ENSG00000155130",0.479145688482821,5.74377671465994,15.114722381595,0.000101171201199794,0.000324955771919932
"ENSG00000104969",0.490173767339795,5.67150839132221,14.8684590244896,0.000115274412726362,0.00036783790326559
"ENSG00000159147",0.797909608271939,4.25308736759885,14.6509618685824,0.000129368606917081,0.000410656311865231
"ENSG00000008405",0.716488817212774,4.4816114413508,13.9224014650004,0.000190514300749489,0.000592295635036771
"ENSG00000071655",0.497059493295686,5.50595567523366,13.7812203876989,0.000205378973426332,0.000635045987533732
"ENSG00000134597",0.647532991847443,4.7558211418441,13.537574107086,0.000233834446581367,0.000718041603442782
"ENSG00000142453",0.496539950178246,5.45453980325358,13.2639619148921,0.000270557237460083,0.000819837277078587
"ENSG00000105643",0.791499515986317,4.14287799806442,13.2241914162103,0.000276358919328577,0.00083566913506103
"ENSG00000162227",0.81786578819454,4.03995962234145,13.1744361557074,0.000283794106596983,0.000856600383487607
"ENSG00000089053",0.321848515579127,6.70085427160158,13.118984348949,0.000292318463612465,0.000880675451660327
"ENSG00000105722",0.426583104179741,5.87593233540993,13.1033597068489,0.000294766657711292,0.000887456778035738
"ENSG00000105486",0.984440533692795,3.53459210876367,13.1024207798917,0.000294914433015544,0.000887545242676244
